"Step","playful-dust-3 - returns/mean","playful-dust-3 - returns/mean__MIN","playful-dust-3 - returns/mean__MAX","playful-dust-3 - returns/std","playful-dust-3 - returns/std__MIN","playful-dust-3 - returns/std__MAX"
"1","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"2","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"3","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"4","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"5","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"6","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"7","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"8","4.1884613037109375","4.1884613037109375","4.1884613037109375","1.7873432636260986","1.7873432636260986","1.7873432636260986"
"9","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"10","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"11","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"12","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"13","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"14","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"15","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"16","4.103238105773926","4.103238105773926","4.103238105773926","1.94749116897583","1.94749116897583","1.94749116897583"
"17","4.442896366119385","4.442896366119385","4.442896366119385","1.5035170316696167","1.5035170316696167","1.5035170316696167"
"18","4.442896366119385","4.442896366119385","4.442896366119385","1.5035170316696167","1.5035170316696167","1.5035170316696167"
"19","4.442896366119385","4.442896366119385","4.442896366119385","1.5035170316696167","1.5035170316696167","1.5035170316696167"
"20","4.442896366119385","4.442896366119385","4.442896366119385","1.5035170316696167","1.5035170316696167","1.5035170316696167"
"21","4.442896366119385","4.442896366119385","4.442896366119385","1.5035170316696167","1.5035170316696167","1.5035170316696167"
