"Step","radiant-silence-7 - reward/mean","radiant-silence-7 - reward/mean__MIN","radiant-silence-7 - reward/mean__MAX"
"0","0.03244147839169135","0.03244147839169135","0.03244147839169135"
"200","0.18230598453781094","0.18230598453781094","0.18230598453781094"
"400","0.28972217165358105","0.28972217165358105","0.28972217165358105"
"600","0.31213061693613525","0.31213061693613525","0.31213061693613525"
