"Step","peachy-silence-158 - reward/mean","peachy-silence-158 - reward/mean__MIN","peachy-silence-158 - reward/mean__MAX"
"0","0.20430692300200462","0.20430692300200462","0.20430692300200462"
"200","0.253169260174036","0.253169260174036","0.253169260174036"
"400","0.25373403549194334","0.25373403549194334","0.25373403549194334"
"600","0.23795212656259537","0.23795212656259537","0.23795212656259537"
