"Step","stellar-bush-24 - reward/mean","stellar-bush-24 - reward/mean__MIN","stellar-bush-24 - reward/mean__MAX"
"0","0.07106448128906712","0.07106448128906712","0.07106448128906712"
"400","-0.014018153291217078","-0.014018153291217078","-0.014018153291217078"
"800","0.09694196621181905","0.09694196621181905","0.09694196621181905"
"1200","0.02042071747429496","0.02042071747429496","0.02042071747429496"
"1600","-0.04385829237222397","-0.04385829237222397","-0.04385829237222397"
"2000","0.036039023778362045","0.036039023778362045","0.036039023778362045"
"2400","-0.0012457648532843075","-0.0012457648532843075","-0.0012457648532843075"
"2800","0.01858746117825754","0.01858746117825754","0.01858746117825754"
"3200","0.12435862597102702","0.12435862597102702","0.12435862597102702"
"3600","-0.009849295081320835","-0.009849295081320835","-0.009849295081320835"
"4000","-0.02073254377873356","-0.02073254377873356","-0.02073254377873356"
"4400","0.13560486315244125","0.13560486315244125","0.13560486315244125"
"4800","0.02075834692813805","0.02075834692813805","0.02075834692813805"
"5200","-0.022353591802341182","-0.022353591802341182","-0.022353591802341182"
"5600","0.07708191642097485","0.07708191642097485","0.07708191642097485"
"6000","0.02017566906187132","0.02017566906187132","0.02017566906187132"
"6400","0.09788700516952971","0.09788700516952971","0.09788700516952971"
"6800","0.017299227027509367","0.017299227027509367","0.017299227027509367"
"7200","0.13210790082419244","0.13210790082419244","0.13210790082419244"
"7600","0.08778905199859711","0.08778905199859711","0.08778905199859711"
"8000","-0.011251484528934817","-0.011251484528934817","-0.011251484528934817"
"8400","0.16157707958544415","0.16157707958544415","0.16157707958544415"
"8800","0.1476099113397077","0.1476099113397077","0.1476099113397077"
"9200","0.04965862776998073","0.04965862776998073","0.04965862776998073"
"9600","0.024354020203422335","0.024354020203422335","0.024354020203422335"
"10000","0.10420278823822769","0.10420278823822769","0.10420278823822769"
"10400","0.0627401125771088","0.0627401125771088","0.0627401125771088"
"10800","0.05984930184516726","0.05984930184516726","0.05984930184516726"
"11200","0.10390216491504255","0.10390216491504255","0.10390216491504255"
"11500","0.0013090376505407852","0.0013090376505407852","0.0013090376505407852"
