"Step","magic-smoke-6 - returns/mean","magic-smoke-6 - returns/mean__MIN","magic-smoke-6 - returns/mean__MAX","magic-smoke-6 - returns/std","magic-smoke-6 - returns/std__MIN","magic-smoke-6 - returns/std__MAX"
"1","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"2","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"3","","","","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"4","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"5","","","","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"6","0.2517089545726776","0.2517089545726776","0.2517089545726776","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"7","","","","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"8","","","","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"9","0.2517089545726776","0.2517089545726776","0.2517089545726776","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"10","0.2517089545726776","0.2517089545726776","0.2517089545726776","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"11","","","","0.6355632543563843","0.6355632543563843","0.6355632543563843"
"12","0.6932542324066162","0.6932542324066162","0.6932542324066162","0.6355632543563843","0.6355632543563843","0.6355632543563843"
"13","0.6932542324066162","0.6932542324066162","0.6932542324066162","0.6355632543563843","0.6355632543563843","0.6355632543563843"
"14","0.6932542324066162","0.6932542324066162","0.6932542324066162","","",""
"15","0.6932542324066162","0.6932542324066162","0.6932542324066162","","",""
"16","-0.0660196915268898","-0.0660196915268898","-0.0660196915268898","","",""
"17","-0.0660196915268898","-0.0660196915268898","-0.0660196915268898","0.2774212062358856","0.2774212062358856","0.2774212062358856"
"18","-0.0660196915268898","-0.0660196915268898","-0.0660196915268898","0.2774212062358856","0.2774212062358856","0.2774212062358856"
"19","","","","0.2774212062358856","0.2774212062358856","0.2774212062358856"
"20","","","","0.2774212062358856","0.2774212062358856","0.2774212062358856"
"21","0.07969199120998383","0.07969199120998383","0.07969199120998383","0.13156266510486603","0.13156266510486603","0.13156266510486603"
"22","0.07969199120998383","0.07969199120998383","0.07969199120998383","0.13156266510486603","0.13156266510486603","0.13156266510486603"
"23","0.07969199120998383","0.07969199120998383","0.07969199120998383","0.13156266510486603","0.13156266510486603","0.13156266510486603"
"24","0.07969199120998383","0.07969199120998383","0.07969199120998383","","",""
"25","0.07969199120998383","0.07969199120998383","0.07969199120998383","0.13156266510486603","0.13156266510486603","0.13156266510486603"
"26","-0.19997671246528625","-0.19997671246528625","-0.19997671246528625","0.2942933738231659","0.2942933738231659","0.2942933738231659"
"27","-0.19997671246528625","-0.19997671246528625","-0.19997671246528625","0.2942933738231659","0.2942933738231659","0.2942933738231659"
"28","-0.19997671246528625","-0.19997671246528625","-0.19997671246528625","","",""
"29","-0.19997671246528625","-0.19997671246528625","-0.19997671246528625","0.2942933738231659","0.2942933738231659","0.2942933738231659"
"30","","","","0.2942933738231659","0.2942933738231659","0.2942933738231659"
"31","-0.06156674399971962","-0.06156674399971962","-0.06156674399971962","0.11290840059518814","0.11290840059518814","0.11290840059518814"
"32","-0.06156674399971962","-0.06156674399971962","-0.06156674399971962","","",""
"33","-0.06156674399971962","-0.06156674399971962","-0.06156674399971962","0.11290840059518814","0.11290840059518814","0.11290840059518814"
"34","-0.06156674399971962","-0.06156674399971962","-0.06156674399971962","0.11290840059518814","0.11290840059518814","0.11290840059518814"
"35","-0.06156674399971962","-0.06156674399971962","-0.06156674399971962","0.11290840059518814","0.11290840059518814","0.11290840059518814"
"36","0.3238646686077118","0.3238646686077118","0.3238646686077118","0.13855938613414764","0.13855938613414764","0.13855938613414764"
"37","0.3238646686077118","0.3238646686077118","0.3238646686077118","0.13855938613414764","0.13855938613414764","0.13855938613414764"
"38","0.3238646686077118","0.3238646686077118","0.3238646686077118","0.13855938613414764","0.13855938613414764","0.13855938613414764"
"39","0.3238646686077118","0.3238646686077118","0.3238646686077118","0.13855938613414764","0.13855938613414764","0.13855938613414764"
