"Step","radiant-silence-7 - losses/policy_loss","radiant-silence-7 - losses/policy_loss__MIN","radiant-silence-7 - losses/policy_loss__MAX","radiant-silence-7 - losses/total_loss","radiant-silence-7 - losses/total_loss__MIN","radiant-silence-7 - losses/total_loss__MAX"
"1","0.9069463610649109","0.9069463610649109","0.9069463610649109","3.9584338665008545","3.9584338665008545","3.9584338665008545"
"2","0.8567171096801758","0.8567171096801758","0.8567171096801758","3.618269443511963","3.618269443511963","3.618269443511963"
"3","0.8122730255126953","0.8122730255126953","0.8122730255126953","3.615647315979004","3.615647315979004","3.615647315979004"
"4","0.7872344255447388","0.7872344255447388","0.7872344255447388","3.621084213256836","3.621084213256836","3.621084213256836"
"5","0.7724279165267944","0.7724279165267944","0.7724279165267944","3.6200857162475586","3.6200857162475586","3.6200857162475586"
"6","0.7623875141143799","0.7623875141143799","0.7623875141143799","3.6074156761169434","3.6074156761169434","3.6074156761169434"
"7","0.7556133270263672","0.7556133270263672","0.7556133270263672","3.5859012603759766","3.5859012603759766","3.5859012603759766"
"8","0.7511326670646667","0.7511326670646667","0.7511326670646667","3.5600504875183105","3.5600504875183105","3.5600504875183105"
"9","0.9049942493438721","0.9049942493438721","0.9049942493438721","3.972057580947876","3.972057580947876","3.972057580947876"
"10","0.8826074600219727","0.8826074600219727","0.8826074600219727","3.916829824447632","3.916829824447632","3.916829824447632"
"11","0.8567565679550171","0.8567565679550171","0.8567565679550171","3.8563380241394043","3.8563380241394043","3.8563380241394043"
"12","0.8344050645828247","0.8344050645828247","0.8344050645828247","3.8117361068725586","3.8117361068725586","3.8117361068725586"
"13","0.8180012702941895","0.8180012702941895","0.8180012702941895","3.806858539581299","3.806858539581299","3.806858539581299"
"14","0.8075696229934692","0.8075696229934692","0.8075696229934692","3.792257785797119","3.792257785797119","3.792257785797119"
"15","0.7997465133666992","0.7997465133666992","0.7997465133666992","3.7621991634368896","3.7621991634368896","3.7621991634368896"
"16","0.794317901134491","0.794317901134491","0.794317901134491","3.744046926498413","3.744046926498413","3.744046926498413"
"17","0.2205353081226349","0.2205353081226349","0.2205353081226349","2.0257420539855957","2.0257420539855957","2.0257420539855957"
"18","0.21574915945529938","0.21574915945529938","0.21574915945529938","1.8926074504852295","1.8926074504852295","1.8926074504852295"
"19","0.20895902812480927","0.20895902812480927","0.20895902812480927","1.8354895114898682","1.8354895114898682","1.8354895114898682"
"20","0.20055703818798065","0.20055703818798065","0.20055703818798065","1.8537873029708862","1.8537873029708862","1.8537873029708862"
"21","0.19184555113315582","0.19184555113315582","0.19184555113315582","1.8687267303466797","1.8687267303466797","1.8687267303466797"
"22","0.18411602079868317","0.18411602079868317","0.18411602079868317","1.8772462606430054","1.8772462606430054","1.8772462606430054"
"23","0.1779066026210785","0.1779066026210785","0.1779066026210785","1.877395510673523","1.877395510673523","1.877395510673523"
