"Step","young-flower-175 - rollout_scores/mean","young-flower-175 - rollout_scores/mean__MIN","young-flower-175 - rollout_scores/mean__MAX","young-flower-175 - rollout_scores/running_mean","young-flower-175 - rollout_scores/running_mean__MIN","young-flower-175 - rollout_scores/running_mean__MAX","young-flower-175 - rollout_scores/running_std","young-flower-175 - rollout_scores/running_std__MIN","young-flower-175 - rollout_scores/running_std__MAX","young-flower-175 - rollout_scores/std","young-flower-175 - rollout_scores/std__MIN","young-flower-175 - rollout_scores/std__MAX","young-flower-175 - time/rollout_generate","young-flower-175 - time/rollout_generate__MIN","young-flower-175 - time/rollout_generate__MAX","young-flower-175 - time/rollout_score","young-flower-175 - time/rollout_score__MIN","young-flower-175 - time/rollout_score__MAX","young-flower-175 - time/rollout_time","young-flower-175 - time/rollout_time__MIN","young-flower-175 - time/rollout_time__MAX"
"0","0.17675310000777245","0.17675310000777245","0.17675310000777245","0.1272983526190122","0.1272983526190122","0.1272983526190122","0.2520944227774938","0.2520944227774938","0.2520944227774938","0.32328428158264916","0.32328428158264916","0.32328428158264916","2.7116869688034058","2.7116869688034058","2.7116869688034058","12.189384202162424","12.189384202162424","12.189384202162424","15.11288313070933","15.11288313070933","15.11288313070933"
"60","0.27014201506972313","0.27014201506972313","0.27014201506972313","0.19885567327340445","0.19885567327340445","0.19885567327340445","0.3588508764902751","0.3588508764902751","0.3588508764902751","0.3628705005685333","0.3628705005685333","0.3628705005685333","2.135772625605265","2.135772625605265","2.135772625605265","12.075256725152334","12.075256725152334","12.075256725152334","14.422661185264587","14.422661185264587","14.422661185264587"
"120","0.15778387089570364","0.15778387089570364","0.15778387089570364","0.2092483527958393","0.2092483527958393","0.2092483527958393","0.37546931952238083","0.37546931952238083","0.37546931952238083","0.2890674141969403","0.2890674141969403","0.2890674141969403","1.937863032023112","1.937863032023112","1.937863032023112","12.121977726618448","12.121977726618448","12.121977726618448","14.274562875429789","14.274562875429789","14.274562875429789"
"180","0.3869228425125281","0.3869228425125281","0.3869228425125281","0.2217647172510624","0.2217647172510624","0.2217647172510624","0.38543592145045596","0.38543592145045596","0.38543592145045596","0.46672487976805616","0.46672487976805616","0.46672487976805616","1.8693237503369649","1.8693237503369649","1.8693237503369649","12.168544034163157","12.168544034163157","12.168544034163157","14.281985660394033","14.281985660394033","14.281985660394033"
"240","0.17416502038637796","0.17416502038637796","0.17416502038637796","0.23774158830444017","0.23774158830444017","0.23774158830444017","0.3945392519235611","0.3945392519235611","0.3945392519235611","0.28855693811703986","0.28855693811703986","0.28855693811703986","1.9331435759862263","1.9331435759862263","1.9331435759862263","12.207962453365326","12.207962453365326","12.207962453365326","14.356922586758932","14.356922586758932","14.356922586758932"
"300","0.15744277214010557","0.15744277214010557","0.15744277214010557","0.2242588773369789","0.2242588773369789","0.2242588773369789","0.395716426273187","0.395716426273187","0.395716426273187","0.3786077511019054","0.3786077511019054","0.3786077511019054","1.9936747352282207","1.9936747352282207","1.9936747352282207","12.13806184132894","12.13806184132894","12.13806184132894","14.328887939453125","14.328887939453125","14.328887939453125"
"360","0.21936964988708496","0.21936964988708496","0.21936964988708496","0.22228003293275833","0.22228003293275833","0.22228003293275833","0.3967207769552867","0.3967207769552867","0.3967207769552867","0.339239295538088","0.339239295538088","0.339239295538088","1.9128865996996562","1.9128865996996562","1.9128865996996562","12.17874562740326","12.17874562740326","12.17874562740326","14.289340257644653","14.289340257644653","14.289340257644653"
"420","0.15448710694909096","0.15448710694909096","0.15448710694909096","0.21610038354992867","0.21610038354992867","0.21610038354992867","0.3909832388162613","0.3909832388162613","0.3909832388162613","0.24434608550897488","0.24434608550897488","0.24434608550897488","2.057076116402944","2.057076116402944","2.057076116402944","12.177659312884012","12.177659312884012","12.177659312884012","14.50836424032847","14.50836424032847","14.50836424032847"
"480","0.1284948599835237","0.1284948599835237","0.1284948599835237","0.20534601186712584","0.20534601186712584","0.20534601186712584","0.3821980704863866","0.3821980704863866","0.3821980704863866","0.19897888786848247","0.19897888786848247","0.19897888786848247","2.18148006995519","2.18148006995519","2.18148006995519","12.154866695404053","12.154866695404053","12.154866695404053","14.562434534231821","14.562434534231821","14.562434534231821"
"540","0.2520602693160375","0.2520602693160375","0.2520602693160375","0.20670107752084732","0.20670107752084732","0.20670107752084732","0.3865716780225436","0.3865716780225436","0.3865716780225436","0.33466163051161857","0.33466163051161857","0.33466163051161857","2.0803428093592324","2.0803428093592324","2.0803428093592324","12.20796263217926","12.20796263217926","12.20796263217926","14.497327228387197","14.497327228387197","14.497327228387197"
