"Step","hearty-violet-164 - reward/mean","hearty-violet-164 - reward/mean__MIN","hearty-violet-164 - reward/mean__MAX"
"0","0.21597713977098465","0.21597713977098465","0.21597713977098465"
"200","0.20372663632035257","0.20372663632035257","0.20372663632035257"
"400","0.200286475867033","0.200286475867033","0.200286475867033"
"600","0.2015211556851864","0.2015211556851864","0.2015211556851864"
"800","0.19882920473814011","0.19882920473814011","0.19882920473814011"
"1000","0.19374504342675208","0.19374504342675208","0.19374504342675208"
