"Step","young-flower-175 - losses/policy_loss","young-flower-175 - losses/policy_loss__MIN","young-flower-175 - losses/policy_loss__MAX","young-flower-175 - losses/total_loss","young-flower-175 - losses/total_loss__MIN","young-flower-175 - losses/total_loss__MAX","young-flower-175 - losses/value_loss","young-flower-175 - losses/value_loss__MIN","young-flower-175 - losses/value_loss__MAX"
"1","-0.18211911618709564","-0.18211911618709564","-0.18211911618709564","0.019486159086227417","0.019486159086227417","0.019486159086227417","0.20160527527332306","0.20160527527332306","0.20160527527332306"
"2","-0.1982606202363968","-0.1982606202363968","-0.1982606202363968","-0.004825592041015625","-0.004825592041015625","-0.004825592041015625","0.19343502819538116","0.19343502819538116","0.19343502819538116"
"3","-0.21332113444805145","-0.21332113444805145","-0.21332113444805145","","","","","",""
"4","-0.22774291038513184","-0.22774291038513184","-0.22774291038513184","-0.04831983149051666","-0.04831983149051666","-0.04831983149051666","","",""
"5","-0.2397594153881073","-0.2397594153881073","-0.2397594153881073","-0.06638778746128082","-0.06638778746128082","-0.06638778746128082","0.17337162792682648","0.17337162792682648","0.17337162792682648"
"6","","","","0.12847761809825897","0.12847761809825897","0.12847761809825897","0.11694501340389252","0.11694501340389252","0.11694501340389252"
"7","0.007171308621764183","0.007171308621764183","0.007171308621764183","0.12406474351882935","0.12406474351882935","0.12406474351882935","0.11689343303442001","0.11689343303442001","0.11689343303442001"
"8","0.0007747703930363059","0.0007747703930363059","0.0007747703930363059","0.1169101893901825","0.1169101893901825","0.1169101893901825","0.11613541841506958","0.11613541841506958","0.11613541841506958"
"9","-0.006972885224968195","-0.006972885224968195","-0.006972885224968195","0.10788492113351822","0.10788492113351822","0.10788492113351822","0.11485780775547028","0.11485780775547028","0.11485780775547028"
"10","","","","","","","0.11319448798894882","0.11319448798894882","0.11319448798894882"
"11","-0.05769471451640129","-0.05769471451640129","-0.05769471451640129","0.17086485028266907","0.17086485028266907","0.17086485028266907","","",""
"12","-0.06021802872419357","-0.06021802872419357","-0.06021802872419357","0.16650307178497314","0.16650307178497314","0.16650307178497314","0.22672109305858612","0.22672109305858612","0.22672109305858612"
"13","-0.06414827704429626","-0.06414827704429626","-0.06414827704429626","","","","0.22441567480564117","0.22441567480564117","0.22441567480564117"
"14","-0.06915607303380966","-0.06915607303380966","-0.06915607303380966","0.1527232527732849","0.1527232527732849","0.1527232527732849","0.22187931835651398","0.22187931835651398","0.22187931835651398"
"15","","","","0.14455531537532806","0.14455531537532806","0.14455531537532806","0.21916332840919495","0.21916332840919495","0.21916332840919495"
"16","-0.10859663039445877","-0.10859663039445877","-0.10859663039445877","0.17025279998779297","0.17025279998779297","0.17025279998779297","0.27884942293167114","0.27884942293167114","0.27884942293167114"
"17","-0.11238377541303635","-0.11238377541303635","-0.11238377541303635","0.16519758105278015","0.16519758105278015","0.16519758105278015","0.2775813639163971","0.2775813639163971","0.2775813639163971"
"18","-0.11828157305717468","-0.11828157305717468","-0.11828157305717468","","","","0.275759220123291","0.275759220123291","0.275759220123291"
"19","-0.12508340179920197","-0.12508340179920197","-0.12508340179920197","0.1484680324792862","0.1484680324792862","0.1484680324792862","0.27355143427848816","0.27355143427848816","0.27355143427848816"
"20","-0.13122858107089996","-0.13122858107089996","-0.13122858107089996","0.13997100293636322","0.13997100293636322","0.13997100293636322","0.2711995840072632","0.2711995840072632","0.2711995840072632"
"21","0.0023712962865829468","0.0023712962865829468","0.0023712962865829468","0.24844814836978912","0.24844814836978912","0.24844814836978912","","",""
"22","0.001038864254951477","0.001038864254951477","0.001038864254951477","0.24549883604049683","0.24549883604049683","0.24549883604049683","0.24445997178554535","0.24445997178554535","0.24445997178554535"
"23","-0.0012417212128639221","-0.0012417212128639221","-0.0012417212128639221","0.24109676480293274","0.24109676480293274","0.24109676480293274","0.24233847856521606","0.24233847856521606","0.24233847856521606"
"24","","","","0.23554104566574097","0.23554104566574097","0.23554104566574097","","",""
"25","-0.007196865975856781","-0.007196865975856781","-0.007196865975856781","0.23001748323440552","0.23001748323440552","0.23001748323440552","0.2372143566608429","0.2372143566608429","0.2372143566608429"
"26","-0.10915841907262802","-0.10915841907262802","-0.10915841907262802","0.17061349749565125","0.17061349749565125","0.17061349749565125","","",""
"27","-0.11127672344446182","-0.11127672344446182","-0.11127672344446182","","","","0.2783038914203644","0.2783038914203644","0.2783038914203644"
"28","-0.11475211381912231","-0.11475211381912231","-0.11475211381912231","0.16157791018486023","0.16157791018486023","0.16157791018486023","0.27633002400398254","0.27633002400398254","0.27633002400398254"
"29","-0.11931247264146805","-0.11931247264146805","-0.11931247264146805","0.15464016795158386","0.15464016795158386","0.15464016795158386","0.2739526331424713","0.2739526331424713","0.2739526331424713"
"30","-0.12476644665002823","-0.12476644665002823","-0.12476644665002823","0.14684224128723145","0.14684224128723145","0.14684224128723145","0.2716086804866791","0.2716086804866791","0.2716086804866791"
"31","-0.07603583484888077","-0.07603583484888077","-0.07603583484888077","0.13439270853996277","0.13439270853996277","0.13439270853996277","0.21042855083942413","0.21042855083942413","0.21042855083942413"
"32","-0.07847040146589279","-0.07847040146589279","-0.07847040146589279","0.13108375668525696","0.13108375668525696","0.13108375668525696","0.20955415070056915","0.20955415070056915","0.20955415070056915"
"33","-0.08263494819402695","-0.08263494819402695","-0.08263494819402695","0.12573745846748352","0.12573745846748352","0.12573745846748352","","",""
"34","-0.0881962776184082","-0.0881962776184082","-0.0881962776184082","","","","0.20696012675762177","0.20696012675762177","0.20696012675762177"
"35","-0.09491012990474701","-0.09491012990474701","-0.09491012990474701","0.11044922471046448","0.11044922471046448","0.11044922471046448","0.2053593546152115","0.2053593546152115","0.2053593546152115"
"36","0.02469649165868759","0.02469649165868759","0.02469649165868759","","","","0.14132772386074066","0.14132772386074066","0.14132772386074066"
"37","0.020751960575580597","0.020751960575580597","0.020751960575580597","0.1604924499988556","0.1604924499988556","0.1604924499988556","0.1397404819726944","0.1397404819726944","0.1397404819726944"
"38","0.014519467949867249","0.014519467949867249","0.014519467949867249","0.1521650105714798","0.1521650105714798","0.1521650105714798","","",""
