"Step","light-hill-20 - returns/mean","light-hill-20 - returns/mean__MIN","light-hill-20 - returns/mean__MAX","light-hill-20 - returns/std","light-hill-20 - returns/std__MIN","light-hill-20 - returns/std__MAX"
"1","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"2","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"3","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"4","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"5","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"6","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"7","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"8","4.010164260864258","4.010164260864258","4.010164260864258","1.936802864074707","1.936802864074707","1.936802864074707"
"9","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"10","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"11","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"12","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"13","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"14","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"15","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"16","4.124551296234131","4.124551296234131","4.124551296234131","1.840293526649475","1.840293526649475","1.840293526649475"
"17","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"18","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"19","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"20","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"21","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"22","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"23","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"24","4.422323226928711","4.422323226928711","4.422323226928711","1.566631555557251","1.566631555557251","1.566631555557251"
"25","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"26","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"27","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"28","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"29","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"30","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"31","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"32","4.271657466888428","4.271657466888428","4.271657466888428","1.4607692956924438","1.4607692956924438","1.4607692956924438"
"33","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"34","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"35","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"36","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"37","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"38","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"39","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"40","4.122514724731445","4.122514724731445","4.122514724731445","1.2757737636566162","1.2757737636566162","1.2757737636566162"
"41","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"42","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"43","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"44","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"45","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"46","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"47","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"48","4.211597919464111","4.211597919464111","4.211597919464111","1.2679622173309326","1.2679622173309326","1.2679622173309326"
"49","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"50","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"51","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"52","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"53","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"54","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"55","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"56","3.9626893997192383","3.9626893997192383","3.9626893997192383","1.3397090435028076","1.3397090435028076","1.3397090435028076"
"57","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"58","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"59","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"60","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"61","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"62","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"63","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"64","4.073774337768555","4.073774337768555","4.073774337768555","1.2733612060546875","1.2733612060546875","1.2733612060546875"
"65","3.8277900218963623","3.8277900218963623","3.8277900218963623","1.3783936500549316","1.3783936500549316","1.3783936500549316"
"66","3.8277900218963623","3.8277900218963623","3.8277900218963623","1.3783936500549316","1.3783936500549316","1.3783936500549316"
"67","3.8277900218963623","3.8277900218963623","3.8277900218963623","1.3783936500549316","1.3783936500549316","1.3783936500549316"
"68","3.8277900218963623","3.8277900218963623","3.8277900218963623","1.3783936500549316","1.3783936500549316","1.3783936500549316"
