"Step","still-voice-16 - returns/mean","still-voice-16 - returns/mean__MIN","still-voice-16 - returns/mean__MAX","still-voice-16 - returns/std","still-voice-16 - returns/std__MIN","still-voice-16 - returns/std__MAX"
"1","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"2","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"3","","","","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"4","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"5","0.010674215853214264","0.010674215853214264","0.010674215853214264","0.0367722362279892","0.0367722362279892","0.0367722362279892"
"6","","","","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"7","0.2517089545726776","0.2517089545726776","0.2517089545726776","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"8","","","","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"9","0.2517089545726776","0.2517089545726776","0.2517089545726776","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"10","","","","0.46673116087913513","0.46673116087913513","0.46673116087913513"
"11","0.691145658493042","0.691145658493042","0.691145658493042","","",""
"12","0.691145658493042","0.691145658493042","0.691145658493042","0.6323602199554443","0.6323602199554443","0.6323602199554443"
"13","0.691145658493042","0.691145658493042","0.691145658493042","0.6323602199554443","0.6323602199554443","0.6323602199554443"
"14","0.691145658493042","0.691145658493042","0.691145658493042","","",""
"15","0.691145658493042","0.691145658493042","0.691145658493042","0.6323602199554443","0.6323602199554443","0.6323602199554443"
"16","-0.07699812203645706","-0.07699812203645706","-0.07699812203645706","0.281645804643631","0.281645804643631","0.281645804643631"
"17","-0.07699812203645706","-0.07699812203645706","-0.07699812203645706","0.281645804643631","0.281645804643631","0.281645804643631"
"18","-0.07699812203645706","-0.07699812203645706","-0.07699812203645706","0.281645804643631","0.281645804643631","0.281645804643631"
"19","-0.07699812203645706","-0.07699812203645706","-0.07699812203645706","0.281645804643631","0.281645804643631","0.281645804643631"
"20","-0.07699812203645706","-0.07699812203645706","-0.07699812203645706","0.281645804643631","0.281645804643631","0.281645804643631"
"21","0.1075403019785881","0.1075403019785881","0.1075403019785881","0.11201944947242737","0.11201944947242737","0.11201944947242737"
"22","0.1075403019785881","0.1075403019785881","0.1075403019785881","0.11201944947242737","0.11201944947242737","0.11201944947242737"
"23","0.1075403019785881","0.1075403019785881","0.1075403019785881","0.11201944947242737","0.11201944947242737","0.11201944947242737"
"24","0.1075403019785881","0.1075403019785881","0.1075403019785881","0.11201944947242737","0.11201944947242737","0.11201944947242737"
"25","0.1075403019785881","0.1075403019785881","0.1075403019785881","0.11201944947242737","0.11201944947242737","0.11201944947242737"
"26","-0.21038594841957092","-0.21038594841957092","-0.21038594841957092","0.2836753726005554","0.2836753726005554","0.2836753726005554"
"27","-0.21038594841957092","-0.21038594841957092","-0.21038594841957092","","",""
"28","-0.21038594841957092","-0.21038594841957092","-0.21038594841957092","0.2836753726005554","0.2836753726005554","0.2836753726005554"
"29","-0.21038594841957092","-0.21038594841957092","-0.21038594841957092","0.2836753726005554","0.2836753726005554","0.2836753726005554"
"30","-0.21038594841957092","-0.21038594841957092","-0.21038594841957092","0.2836753726005554","0.2836753726005554","0.2836753726005554"
"31","-0.05433012917637825","-0.05433012917637825","-0.05433012917637825","0.11066097021102905","0.11066097021102905","0.11066097021102905"
"32","-0.05433012917637825","-0.05433012917637825","-0.05433012917637825","0.11066097021102905","0.11066097021102905","0.11066097021102905"
"33","","","","0.11066097021102905","0.11066097021102905","0.11066097021102905"
"34","-0.05433012917637825","-0.05433012917637825","-0.05433012917637825","0.11066097021102905","0.11066097021102905","0.11066097021102905"
"35","-0.05433012917637825","-0.05433012917637825","-0.05433012917637825","0.11066097021102905","0.11066097021102905","0.11066097021102905"
"36","0.27568480372428894","0.27568480372428894","0.27568480372428894","0.11116483807563782","0.11116483807563782","0.11116483807563782"
"37","","","","0.11116483807563782","0.11116483807563782","0.11116483807563782"
