"Step","playful-dust-3 - losses/policy_loss","playful-dust-3 - losses/policy_loss__MIN","playful-dust-3 - losses/policy_loss__MAX","playful-dust-3 - losses/total_loss","playful-dust-3 - losses/total_loss__MIN","playful-dust-3 - losses/total_loss__MAX"
"1","0.9051767587661743","0.9051767587661743","0.9051767587661743","3.9469122886657715","3.9469122886657715","3.9469122886657715"
"2","0.8549216985702515","0.8549216985702515","0.8549216985702515","3.607541561126709","3.607541561126709","3.607541561126709"
"3","0.8104153275489807","0.8104153275489807","0.8104153275489807","3.6048734188079834","3.6048734188079834","3.6048734188079834"
"4","0.7853744029998779","0.7853744029998779","0.7853744029998779","3.610244035720825","3.610244035720825","3.610244035720825"
"5","0.7705239057540894","0.7705239057540894","0.7705239057540894","3.6090221405029297","3.6090221405029297","3.6090221405029297"
"6","0.7605071067810059","0.7605071067810059","0.7605071067810059","3.5962300300598145","3.5962300300598145","3.5962300300598145"
"7","0.7537479400634766","0.7537479400634766","0.7537479400634766","3.57462215423584","3.57462215423584","3.57462215423584"
"8","0.74922114610672","0.74922114610672","0.74922114610672","3.5486719608306885","3.5486719608306885","3.5486719608306885"
"9","0.8962291479110718","0.8962291479110718","0.8962291479110718","3.8548154830932617","3.8548154830932617","3.8548154830932617"
"10","0.8737749457359314","0.8737749457359314","0.8737749457359314","3.7989182472229004","3.7989182472229004","3.7989182472229004"
"11","0.847888708114624","0.847888708114624","0.847888708114624","3.7378411293029785","3.7378411293029785","3.7378411293029785"
"12","0.8254051208496094","0.8254051208496094","0.8254051208496094","3.693019151687622","3.693019151687622","3.693019151687622"
"13","0.8089647889137268","0.8089647889137268","0.8089647889137268","3.689164400100708","3.689164400100708","3.689164400100708"
"14","0.7983700633049011","0.7983700633049011","0.7983700633049011","3.6771953105926514","3.6771953105926514","3.6771953105926514"
"15","0.7906114459037781","0.7906114459037781","0.7906114459037781","3.645324230194092","3.645324230194092","3.645324230194092"
"16","0.7852992415428162","0.7852992415428162","0.7852992415428162","3.625001907348633","3.625001907348633","3.625001907348633"
"17","0.2090826779603958","0.2090826779603958","0.2090826779603958","1.9519946575164795","1.9519946575164795","1.9519946575164795"
"18","0.20424403250217438","0.20424403250217438","0.20424403250217438","1.8203816413879395","1.8203816413879395","1.8203816413879395"
"19","0.19732895493507385","0.19732895493507385","0.19732895493507385","1.766615867614746","1.766615867614746","1.766615867614746"
"20","0.1887655109167099","0.1887655109167099","0.1887655109167099","1.7849199771881104","1.7849199771881104","1.7849199771881104"
"21","0.17956823110580444","0.17956823110580444","0.17956823110580444","1.7996022701263428","1.7996022701263428","1.7996022701263428"
"22","0.17190133035182953","0.17190133035182953","0.17190133035182953","1.80836820602417","1.80836820602417","1.80836820602417"
"23","0.16578969359397888","0.16578969359397888","0.16578969359397888","1.808725118637085","1.808725118637085","1.808725118637085"
"24","0.16077129542827606","0.16077129542827606","0.16077129542827606","1.7995737791061401","1.7995737791061401","1.7995737791061401"
"25","0.09813671559095383","0.09813671559095383","0.09813671559095383","1.4953062534332275","1.4953062534332275","1.4953062534332275"
"26","0.09481408447027206","0.09481408447027206","0.09481408447027206","1.471468448638916","1.471468448638916","1.471468448638916"
"27","0.0898493081331253","0.0898493081331253","0.0898493081331253","1.4398614168167114","1.4398614168167114","1.4398614168167114"
