"Step","magic-smoke-6 - losses/policy_loss","magic-smoke-6 - losses/policy_loss__MIN","magic-smoke-6 - losses/policy_loss__MAX","magic-smoke-6 - losses/total_loss","magic-smoke-6 - losses/total_loss__MIN","magic-smoke-6 - losses/total_loss__MAX"
"1","0.054564982652664185","0.054564982652664185","0.054564982652664185","0.19373171031475067","0.19373171031475067","0.19373171031475067"
"2","0.01593509316444397","0.01593509316444397","0.01593509316444397","0.13321319222450256","0.13321319222450256","0.13321319222450256"
"3","0.0065386295318603516","0.0065386295318603516","0.0065386295318603516","0.10266917943954468","0.10266917943954468","0.10266917943954468"
"4","0.004816889762878418","0.004816889762878418","0.004816889762878418","0.08577931672334671","0.08577931672334671","0.08577931672334671"
"5","0.002771049737930298","0.002771049737930298","0.002771049737930298","","",""
"6","-0.0006666639819741249","-0.0006666639819741249","-0.0006666639819741249","0.15144576132297516","0.15144576132297516","0.15144576132297516"
"7","","","","0.14652593433856964","0.14652593433856964","0.14652593433856964"
"8","-0.008404430001974106","-0.008404430001974106","-0.008404430001974106","0.1396777629852295","0.1396777629852295","0.1396777629852295"
"9","-0.013874880038201809","-0.013874880038201809","-0.013874880038201809","0.13169948756694794","0.13169948756694794","0.13169948756694794"
"10","-0.019015181809663773","-0.019015181809663773","-0.019015181809663773","0.12389552593231201","0.12389552593231201","0.12389552593231201"
"11","-0.36259809136390686","-0.36259809136390686","-0.36259809136390686","-0.04664066433906555","-0.04664066433906555","-0.04664066433906555"
"12","-0.3671155273914337","-0.3671155273914337","-0.3671155273914337","-0.05667632818222046","-0.05667632818222046","-0.05667632818222046"
"13","-0.3740978538990021","-0.3740978538990021","-0.3740978538990021","-0.07077285647392273","-0.07077285647392273","-0.07077285647392273"
"14","-0.38290995359420776","-0.38290995359420776","-0.38290995359420776","-0.08756402134895325","-0.08756402134895325","-0.08756402134895325"
"15","-0.39319151639938354","-0.39319151639938354","-0.39319151639938354","-0.105446457862854","-0.105446457862854","-0.105446457862854"
"16","0.003964313305914402","0.003964313305914402","0.003964313305914402","0.13456711173057556","0.13456711173057556","0.13456711173057556"
"17","0.0014446164714172482","0.0014446164714172482","0.0014446164714172482","0.13260045647621155","0.13260045647621155","0.13260045647621155"
"18","-0.0026599126867949963","-0.0026599126867949963","-0.0026599126867949963","0.12851585447788239","0.12851585447788239","0.12851585447788239"
"19","-0.007991015911102295","-0.007991015911102295","-0.007991015911102295","0.1227162629365921","0.1227162629365921","0.1227162629365921"
"20","","","","0.11550354212522507","0.11550354212522507","0.11550354212522507"
"21","0.054448261857032776","0.054448261857032776","0.054448261857032776","0.20063993334770203","0.20063993334770203","0.20063993334770203"
"22","0.050722863525152206","0.050722863525152206","0.050722863525152206","0.1954992115497589","0.1954992115497589","0.1954992115497589"
"23","0.04466605931520462","0.04466605931520462","0.04466605931520462","0.18621277809143066","0.18621277809143066","0.18621277809143066"
"24","0.03681198135018349","0.03681198135018349","0.03681198135018349","","",""
"25","0.027472825720906258","0.027472825720906258","0.027472825720906258","0.15935252606868744","0.15935252606868744","0.15935252606868744"
