"Step","radiant-silence-7 - returns/mean","radiant-silence-7 - returns/mean__MIN","radiant-silence-7 - returns/mean__MAX","radiant-silence-7 - returns/std","radiant-silence-7 - returns/std__MIN","radiant-silence-7 - returns/std__MAX"
"1","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"2","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"3","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"4","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"5","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"6","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"7","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"8","4.1846022605896","4.1846022605896","4.1846022605896","1.787580132484436","1.787580132484436","1.787580132484436"
"9","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"10","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"11","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"12","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"13","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"14","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"15","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"16","4.065293312072754","4.065293312072754","4.065293312072754","1.9697481393814087","1.9697481393814087","1.9697481393814087"
"17","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"18","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"19","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"20","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"21","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"22","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"23","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"24","4.46406888961792","4.46406888961792","4.46406888961792","1.510179042816162","1.510179042816162","1.510179042816162"
"25","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"26","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"27","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"28","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"29","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"30","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"31","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"32","4.338118076324463","4.338118076324463","4.338118076324463","1.4086929559707642","1.4086929559707642","1.4086929559707642"
"33","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"34","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"35","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"36","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"37","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"38","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"39","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"40","4.141009330749512","4.141009330749512","4.141009330749512","1.2349566221237183","1.2349566221237183","1.2349566221237183"
"41","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"42","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"43","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"44","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"45","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"46","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"47","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"48","4.08294153213501","4.08294153213501","4.08294153213501","1.3298354148864746","1.3298354148864746","1.3298354148864746"
"49","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"50","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"51","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"52","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"53","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"54","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"55","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"56","3.9086246490478516","3.9086246490478516","3.9086246490478516","1.3673882484436035","1.3673882484436035","1.3673882484436035"
"57","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"58","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"59","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"60","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"61","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"62","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"63","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"64","4.03458833694458","4.03458833694458","4.03458833694458","1.2323616743087769","1.2323616743087769","1.2323616743087769"
"65","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"66","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"67","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"68","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"69","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"70","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"71","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"72","3.7110986709594727","3.7110986709594727","3.7110986709594727","1.4059028625488281","1.4059028625488281","1.4059028625488281"
"73","4.014190196990967","4.014190196990967","4.014190196990967","1.1924039125442505","1.1924039125442505","1.1924039125442505"
"74","4.014190196990967","4.014190196990967","4.014190196990967","1.1924039125442505","1.1924039125442505","1.1924039125442505"
"75","4.014190196990967","4.014190196990967","4.014190196990967","1.1924039125442505","1.1924039125442505","1.1924039125442505"
