"Step","peachy-silence-158 - returns/max","peachy-silence-158 - returns/max__MIN","peachy-silence-158 - returns/max__MAX","peachy-silence-158 - returns/mean","peachy-silence-158 - returns/mean__MIN","peachy-silence-158 - returns/mean__MAX","peachy-silence-158 - returns/min","peachy-silence-158 - returns/min__MIN","peachy-silence-158 - returns/min__MAX","peachy-silence-158 - returns/std","peachy-silence-158 - returns/std__MIN","peachy-silence-158 - returns/std__MAX"
"1","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"2","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"3","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"4","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"5","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"6","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"7","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"8","6.261117458343506","6.261117458343506","6.261117458343506","4.310697078704834","4.310697078704834","4.310697078704834","-0.00037670135498046875","-0.00037670135498046875","-0.00037670135498046875","1.674574375152588","1.674574375152588","1.674574375152588"
"9","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"10","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"11","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"12","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"13","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"14","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"15","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"16","6.462320327758789","6.462320327758789","6.462320327758789","4.18709135055542","4.18709135055542","4.18709135055542","-0.0005512237548828125","-0.0005512237548828125","-0.0005512237548828125","1.7492409944534302","1.7492409944534302","1.7492409944534302"
"17","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"18","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"19","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"20","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"21","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"22","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"23","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"24","6.170938491821289","6.170938491821289","6.170938491821289","4.448662757873535","4.448662757873535","4.448662757873535","-0.0705709457397461","-0.0705709457397461","-0.0705709457397461","1.461145281791687","1.461145281791687","1.461145281791687"
"25","5.798139572143555","5.798139572143555","5.798139572143555","4.298174858093262","4.298174858093262","4.298174858093262","-0.009403705596923828","-0.009403705596923828","-0.009403705596923828","1.3731950521469116","1.3731950521469116","1.3731950521469116"
"26","5.798139572143555","5.798139572143555","5.798139572143555","4.298174858093262","4.298174858093262","4.298174858093262","-0.009403705596923828","-0.009403705596923828","-0.009403705596923828","1.3731950521469116","1.3731950521469116","1.3731950521469116"
"27","5.798139572143555","5.798139572143555","5.798139572143555","4.298174858093262","4.298174858093262","4.298174858093262","-0.009403705596923828","-0.009403705596923828","-0.009403705596923828","1.3731950521469116","1.3731950521469116","1.3731950521469116"
