"Step","stellar-bush-24 - losses/policy_loss","stellar-bush-24 - losses/policy_loss__MIN","stellar-bush-24 - losses/policy_loss__MAX","stellar-bush-24 - losses/total_loss","stellar-bush-24 - losses/total_loss__MIN","stellar-bush-24 - losses/total_loss__MAX"
"1","0.2384045124053955","0.2384045124053955","0.2384045124053955","0.5107986927032471","0.5107986927032471","0.5107986927032471"
"2","0.2084856629371643","0.2084856629371643","0.2084856629371643","0.43244287371635437","0.43244287371635437","0.43244287371635437"
"3","0.1938079297542572","0.1938079297542572","0.1938079297542572","0.3877561688423157","0.3877561688423157","0.3877561688423157"
"4","0.18590232729911804","0.18590232729911804","0.18590232729911804","0.3784874379634857","0.3784874379634857","0.3784874379634857"
"5","0.18479490280151367","0.18479490280151367","0.18479490280151367","0.3750847280025482","0.3750847280025482","0.3750847280025482"
"6","-0.000940077006816864","-0.000940077006816864","-0.000940077006816864","0.16954770684242249","0.16954770684242249","0.16954770684242249"
"7","-0.003804638981819153","-0.003804638981819153","-0.003804638981819153","0.16400837898254395","0.16400837898254395","0.16400837898254395"
"8","-0.008006259799003601","-0.008006259799003601","-0.008006259799003601","0.15620844066143036","0.15620844066143036","0.15620844066143036"
"9","-0.013078100979328156","-0.013078100979328156","-0.013078100979328156","0.14704403281211853","0.14704403281211853","0.14704403281211853"
"10","-0.018545597791671753","-0.018545597791671753","-0.018545597791671753","0.13726156949996948","0.13726156949996948","0.13726156949996948"
"11","-0.2269960194826126","-0.2269960194826126","-0.2269960194826126","-0.10267247259616852","-0.10267247259616852","-0.10267247259616852"
"12","-0.23229879140853882","-0.23229879140853882","-0.23229879140853882","-0.11001041531562805","-0.11001041531562805","-0.11001041531562805"
"13","-0.240364670753479","-0.240364670753479","-0.240364670753479","-0.1202184334397316","-0.1202184334397316","-0.1202184334397316"
"14","-0.2504272758960724","-0.2504272758960724","-0.2504272758960724","-0.13241320848464966","-0.13241320848464966","-0.13241320848464966"
"15","-0.2617960572242737","-0.2617960572242737","-0.2617960572242737","-0.1458359658718109","-0.1458359658718109","-0.1458359658718109"
"16","0.030927317216992378","0.030927317216992378","0.030927317216992378","0.19618920981884003","0.19618920981884003","0.19618920981884003"
"17","0.02864520065486431","0.02864520065486431","0.02864520065486431","0.1941612958908081","0.1941612958908081","0.1941612958908081"
"18","0.0249150563031435","0.0249150563031435","0.0249150563031435","0.18962042033672333","0.18962042033672333","0.18962042033672333"
"19","0.02006201259791851","0.02006201259791851","0.02006201259791851","0.18310408294200897","0.18310408294200897","0.18310408294200897"
"20","0.014298873022198677","0.014298873022198677","0.014298873022198677","0.17500954866409302","0.17500954866409302","0.17500954866409302"
"21","-0.04707004129886627","-0.04707004129886627","-0.04707004129886627","0.050210557878017426","0.050210557878017426","0.050210557878017426"
"22","-0.05126334726810455","-0.05126334726810455","-0.05126334726810455","0.04504271596670151","0.04504271596670151","0.04504271596670151"
"23","-0.05792360380291939","-0.05792360380291939","-0.05792360380291939","0.03699526563286781","0.03699526563286781","0.03699526563286781"
"24","-0.0663919523358345","-0.0663919523358345","-0.0663919523358345","0.026835493743419647","0.026835493743419647","0.026835493743419647"
"25","-0.07631231099367142","-0.07631231099367142","-0.07631231099367142","0.015016190707683563","0.015016190707683563","0.015016190707683563"
"26","0.0014059841632843018","0.0014059841632843018","0.0014059841632843018","0.2396346777677536","0.2396346777677536","0.2396346777677536"
"27","0.000041112303733825684","0.000041112303733825684","0.000041112303733825684","0.23550130426883698","0.23550130426883698","0.23550130426883698"
"28","-0.002272292971611023","-0.002272292971611023","-0.002272292971611023","0.2297779768705368","0.2297779768705368","0.2297779768705368"
"29","-0.005372911691665649","-0.005372911691665649","-0.005372911691665649","0.22283101081848145","0.22283101081848145","0.22283101081848145"
"30","-0.009093105792999268","-0.009093105792999268","-0.009093105792999268","0.21498027443885803","0.21498027443885803","0.21498027443885803"
"31","0.0004903567605651915","0.0004903567605651915","0.0004903567605651915","0.14158737659454346","0.14158737659454346","0.14158737659454346"
"32","-0.0019869052339345217","-0.0019869052339345217","-0.0019869052339345217","0.1390083283185959","0.1390083283185959","0.1390083283185959"
"33","-0.005727705080062151","-0.005727705080062151","-0.005727705080062151","0.1345827728509903","0.1345827728509903","0.1345827728509903"
"34","-0.010433893650770187","-0.010433893650770187","-0.010433893650770187","0.12866178154945374","0.12866178154945374","0.12866178154945374"
"35","-0.015652185305953026","-0.015652185305953026","-0.015652185305953026","0.12175709754228592","0.12175709754228592","0.12175709754228592"
"36","0.08713177591562271","0.08713177591562271","0.08713177591562271","0.2342347800731659","0.2342347800731659","0.2342347800731659"
"37","0.07888633757829666","0.07888633757829666","0.07888633757829666","0.2240791618824005","0.2240791618824005","0.2240791618824005"
"38","0.06519677489995956","0.06519677489995956","0.06519677489995956","0.20759522914886475","0.20759522914886475","0.20759522914886475"
"39","0.053955595940351486","0.053955595940351486","0.053955595940351486","0.19295533001422882","0.19295533001422882","0.19295533001422882"
"40","0.041091710329055786","0.041091710329055786","0.041091710329055786","0.17620064318180084","0.17620064318180084","0.17620064318180084"
"41","0.0025811046361923218","0.0025811046361923218","0.0025811046361923218","0.2989858388900757","0.2989858388900757","0.2989858388900757"
"42","0.0007624328136444092","0.0007624328136444092","0.0007624328136444092","0.29569435119628906","0.29569435119628906","0.29569435119628906"
"43","-0.0022200345993041992","-0.0022200345993041992","-0.0022200345993041992","0.28983980417251587","0.28983980417251587","0.28983980417251587"
"44","-0.006168454885482788","-0.006168454885482788","-0.006168454885482788","0.28194358944892883","0.28194358944892883","0.28194358944892883"
"45","-0.00992836058139801","-0.00992836058139801","-0.00992836058139801","0.2734220027923584","0.2734220027923584","0.2734220027923584"
"46","0.0027333050966262817","0.0027333050966262817","0.0027333050966262817","0.16213807463645935","0.16213807463645935","0.16213807463645935"
"47","0.0012074485421180725","0.0012074485421180725","0.0012074485421180725","0.15904191136360168","0.15904191136360168","0.15904191136360168"
