"Step","peachy-silence-158 - losses/policy_loss","peachy-silence-158 - losses/policy_loss__MIN","peachy-silence-158 - losses/policy_loss__MAX","peachy-silence-158 - losses/total_loss","peachy-silence-158 - losses/total_loss__MIN","peachy-silence-158 - losses/total_loss__MAX","peachy-silence-158 - losses/value_loss","peachy-silence-158 - losses/value_loss__MIN","peachy-silence-158 - losses/value_loss__MAX"
"1","0.9118809103965759","0.9118809103965759","0.9118809103965759","3.521019458770752","3.521019458770752","3.521019458770752","2.6091384887695312","2.6091384887695312","2.6091384887695312"
"2","0.8585994243621826","0.8585994243621826","0.8585994243621826","3.2038497924804688","3.2038497924804688","3.2038497924804688","2.345250368118286","2.345250368118286","2.345250368118286"
"3","0.8120080828666687","0.8120080828666687","0.8120080828666687","3.1982614994049072","3.1982614994049072","3.1982614994049072","2.3862533569335938","2.3862533569335938","2.3862533569335938"
"4","0.7851107716560364","0.7851107716560364","0.7851107716560364","3.197629928588867","3.197629928588867","3.197629928588867","2.4125192165374756","2.4125192165374756","2.4125192165374756"
"5","0.7696976065635681","0.7696976065635681","0.7696976065635681","3.191486358642578","3.191486358642578","3.191486358642578","2.4217886924743652","2.4217886924743652","2.4217886924743652"
"6","0.7592220902442932","0.7592220902442932","0.7592220902442932","3.175405263900757","3.175405263900757","3.175405263900757","2.4161832332611084","2.4161832332611084","2.4161832332611084"
"7","0.7523908615112305","0.7523908615112305","0.7523908615112305","3.153010129928589","3.153010129928589","3.153010129928589","2.4006192684173584","2.4006192684173584","2.4006192684173584"
"8","0.7479664087295532","0.7479664087295532","0.7479664087295532","3.1280336380004883","3.1280336380004883","3.1280336380004883","2.3800673484802246","2.3800673484802246","2.3800673484802246"
"9","0.9352885484695435","0.9352885484695435","0.9352885484695435","3.543229579925537","3.543229579925537","3.543229579925537","2.607941150665283","2.607941150665283","2.607941150665283"
"10","0.9108408093452454","0.9108408093452454","0.9108408093452454","3.486595392227173","3.486595392227173","3.486595392227173","2.5757546424865723","2.5757546424865723","2.5757546424865723"
"11","0.8835223317146301","0.8835223317146301","0.8835223317146301","3.4263899326324463","3.4263899326324463","3.4263899326324463","2.542867660522461","2.542867660522461","2.542867660522461"
"12","0.8628203272819519","0.8628203272819519","0.8628203272819519","3.3952271938323975","3.3952271938323975","3.3952271938323975","2.532406806945801","2.532406806945801","2.532406806945801"
"13","0.8471490740776062","0.8471490740776062","0.8471490740776062","3.3945629596710205","3.3945629596710205","3.3945629596710205","2.5474138259887695","2.5474138259887695","2.5474138259887695"
"14","0.835422933101654","0.835422933101654","0.835422933101654","3.3732755184173584","3.3732755184173584","3.3732755184173584","2.5378525257110596","2.5378525257110596","2.5378525257110596"
"15","0.8270003795623779","0.8270003795623779","0.8270003795623779","3.34136700630188","3.34136700630188","3.34136700630188","2.514366626739502","2.514366626739502","2.514366626739502"
"16","0.8201361894607544","0.8201361894607544","0.8201361894607544","3.322035312652588","3.322035312652588","3.322035312652588","2.501899003982544","2.501899003982544","2.501899003982544"
"17","0.23197093605995178","0.23197093605995178","0.23197093605995178","1.8312475681304932","1.8312475681304932","1.8312475681304932","1.5992766618728638","1.5992766618728638","1.5992766618728638"
"18","0.2276899814605713","0.2276899814605713","0.2276899814605713","1.7011107206344604","1.7011107206344604","1.7011107206344604","1.4734207391738892","1.4734207391738892","1.4734207391738892"
"19","0.2213888317346573","0.2213888317346573","0.2213888317346573","1.6498465538024902","1.6498465538024902","1.6498465538024902","1.4284577369689941","1.4284577369689941","1.4284577369689941"
"20","0.2140437662601471","0.2140437662601471","0.2140437662601471","1.6697262525558472","1.6697262525558472","1.6697262525558472","1.4556825160980225","1.4556825160980225","1.4556825160980225"
"21","0.20601840317249298","0.20601840317249298","0.20601840317249298","1.6860179901123047","1.6860179901123047","1.6860179901123047","1.4799995422363281","1.4799995422363281","1.4799995422363281"
"22","0.19887396693229675","0.19887396693229675","0.19887396693229675","1.6953364610671997","1.6953364610671997","1.6953364610671997","1.4964624643325806","1.4964624643325806","1.4964624643325806"
"23","0.19317592680454254","0.19317592680454254","0.19317592680454254","1.6954119205474854","1.6954119205474854","1.6954119205474854","1.502236008644104","1.502236008644104","1.502236008644104"
"24","0.18866181373596191","0.18866181373596191","0.18866181373596191","1.6857510805130005","1.6857510805130005","1.6857510805130005","1.4970892667770386","1.4970892667770386","1.4970892667770386"
"25","0.09135068953037262","0.09135068953037262","0.09135068953037262","1.3784642219543457","1.3784642219543457","1.3784642219543457","1.2871135473251343","1.2871135473251343","1.2871135473251343"
"26","0.0879741981625557","0.0879741981625557","0.0879741981625557","1.3529530763626099","1.3529530763626099","1.3529530763626099","1.2649788856506348","1.2649788856506348","1.2649788856506348"
"27","0.08293316513299942","0.08293316513299942","0.08293316513299942","1.3204536437988281","1.3204536437988281","1.3204536437988281","1.237520456314087","1.237520456314087","1.237520456314087"
"28","0.07715805619955063","0.07715805619955063","0.07715805619955063","1.2913174629211426","1.2913174629211426","1.2913174629211426","1.214159369468689","1.214159369468689","1.214159369468689"
"29","0.07121079415082932","0.07121079415082932","0.07121079415082932","1.275049090385437","1.275049090385437","1.275049090385437","1.2038383483886719","1.2038383483886719","1.2038383483886719"
"30","0.06537065654993057","0.06537065654993057","0.06537065654993057","1.285400390625","1.285400390625","1.285400390625","1.2200297117233276","1.2200297117233276","1.2200297117233276"
"31","0.06044943258166313","0.06044943258166313","0.06044943258166313","1.2821253538131714","1.2821253538131714","1.2821253538131714","1.2216758728027344","1.2216758728027344","1.2216758728027344"
"32","0.05649964138865471","0.05649964138865471","0.05649964138865471","1.2537972927093506","1.2537972927093506","1.2537972927093506","1.1972976922988892","1.1972976922988892","1.1972976922988892"
"33","0.11045954376459122","0.11045954376459122","0.11045954376459122","1.26809823513031","1.26809823513031","1.26809823513031","1.157638669013977","1.157638669013977","1.157638669013977"
"34","0.10670103132724762","0.10670103132724762","0.10670103132724762","1.170727252960205","1.170727252960205","1.170727252960205","1.0640262365341187","1.0640262365341187","1.0640262365341187"
"35","0.10092262178659439","0.10092262178659439","0.10092262178659439","1.1252766847610474","1.1252766847610474","1.1252766847610474","1.024354100227356","1.024354100227356","1.024354100227356"
"36","0.09296459704637527","0.09296459704637527","0.09296459704637527","1.1428979635238647","1.1428979635238647","1.1428979635238647","1.0499333143234253","1.0499333143234253","1.0499333143234253"
"37","0.08441463857889175","0.08441463857889175","0.08441463857889175","1.1571528911590576","1.1571528911590576","1.1571528911590576","1.0727382898330688","1.0727382898330688","1.0727382898330688"
"38","0.07665612548589706","0.07665612548589706","0.07665612548589706","1.1652905941009521","1.1652905941009521","1.1652905941009521","1.0886344909667969","1.0886344909667969","1.0886344909667969"
"39","0.07014767825603485","0.07014767825603485","0.07014767825603485","1.1651426553726196","1.1651426553726196","1.1651426553726196","1.0949950218200684","1.0949950218200684","1.0949950218200684"
"40","0.06452620774507523","0.06452620774507523","0.06452620774507523","1.155774474143982","1.155774474143982","1.155774474143982","1.0912482738494873","1.0912482738494873","1.0912482738494873"
"41","0.06821389496326447","0.06821389496326447","0.06821389496326447","0.8367849588394165","0.8367849588394165","0.8367849588394165","0.7685710787773132","0.7685710787773132","0.7685710787773132"
"42","0.06496436893939972","0.06496436893939972","0.06496436893939972","0.8133389949798584","0.8133389949798584","0.8133389949798584","0.7483746409416199","0.7483746409416199","0.7483746409416199"
"43","0.05970058962702751","0.05970058962702751","0.05970058962702751","0.7824211716651917","0.7824211716651917","0.7824211716651917","0.7227205634117126","0.7227205634117126","0.7227205634117126"
"44","0.053619384765625","0.053619384765625","0.053619384765625","0.7505163550376892","0.7505163550376892","0.7505163550376892","0.6968969702720642","0.6968969702720642","0.6968969702720642"
"45","0.04746643453836441","0.04746643453836441","0.04746643453836441","0.733953058719635","0.733953058719635","0.733953058719635","0.6864866018295288","0.6864866018295288","0.6864866018295288"
"46","0.0415145643055439","0.0415145643055439","0.0415145643055439","0.7463254332542419","0.7463254332542419","0.7463254332542419","0.7048108577728271","0.7048108577728271","0.7048108577728271"
"47","0.036074843257665634","0.036074843257665634","0.036074843257665634","0.7549468278884888","0.7549468278884888","0.7549468278884888","0.7188720107078552","0.7188720107078552","0.7188720107078552"
"48","0.03131149709224701","0.03131149709224701","0.03131149709224701","0.7322770357131958","0.7322770357131958","0.7322770357131958","0.7009655237197876","0.7009655237197876","0.7009655237197876"
"49","0.07852950692176819","0.07852950692176819","0.07852950692176819","1.034909963607788","1.034909963607788","1.034909963607788","0.9563804864883423","0.9563804864883423","0.9563804864883423"
"50","0.07450073957443237","0.07450073957443237","0.07450073957443237","0.9506614208221436","0.9506614208221436","0.9506614208221436","0.8761606812477112","0.8761606812477112","0.8761606812477112"
"51","0.06844894587993622","0.06844894587993622","0.06844894587993622","0.90679532289505","0.90679532289505","0.90679532289505","0.8383463621139526","0.8383463621139526","0.8383463621139526"
"52","0.060906168073415756","0.060906168073415756","0.060906168073415756","0.9214221239089966","0.9214221239089966","0.9214221239089966","0.8605159521102905","0.8605159521102905","0.8605159521102905"
"53","0.05297138914465904","0.05297138914465904","0.05297138914465904","0.9333431720733643","0.9333431720733643","0.9333431720733643","0.8803718090057373","0.8803718090057373","0.8803718090057373"
"54","0.04544881731271744","0.04544881731271744","0.04544881731271744","0.939811110496521","0.939811110496521","0.939811110496521","0.8943622708320618","0.8943622708320618","0.8943622708320618"
