"Step","hearty-violet-164 - returns/max","hearty-violet-164 - returns/max__MIN","hearty-violet-164 - returns/max__MAX","hearty-violet-164 - returns/mean","hearty-violet-164 - returns/mean__MIN","hearty-violet-164 - returns/mean__MAX","hearty-violet-164 - returns/min","hearty-violet-164 - returns/min__MIN","hearty-violet-164 - returns/min__MAX","hearty-violet-164 - returns/std","hearty-violet-164 - returns/std__MIN","hearty-violet-164 - returns/std__MAX"
"1","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"2","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"3","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"4","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"5","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"6","2.646498203277588","2.646498203277588","2.646498203277588","0.8845420479774475","0.8845420479774475","0.8845420479774475","0.00016134977340698242","0.00016134977340698242","0.00016134977340698242","0.46323415637016296","0.46323415637016296","0.46323415637016296"
"7","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"8","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"9","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"10","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"11","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"12","2.586005210876465","2.586005210876465","2.586005210876465","0.7470200657844543","0.7470200657844543","0.7470200657844543","0.0001074671745300293","0.0001074671745300293","0.0001074671745300293","0.32288113236427307","0.32288113236427307","0.32288113236427307"
"13","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"14","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"15","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"16","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"17","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"18","1.1549521684646606","1.1549521684646606","1.1549521684646606","0.6443518996238708","0.6443518996238708","0.6443518996238708","-0.00003504753112792969","-0.00003504753112792969","-0.00003504753112792969","0.24986758828163147","0.24986758828163147","0.24986758828163147"
"19","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"20","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"21","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"22","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"23","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"24","2.872903347015381","2.872903347015381","2.872903347015381","0.6835906505584717","0.6835906505584717","0.6835906505584717","0.000016927719116210938","0.000016927719116210938","0.000016927719116210938","0.44897520542144775","0.44897520542144775","0.44897520542144775"
"25","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"26","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"27","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"28","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"29","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"30","0.9057599306106567","0.9057599306106567","0.9057599306106567","0.5306541919708252","0.5306541919708252","0.5306541919708252","-0.004277467727661133","-0.004277467727661133","-0.004277467727661133","0.214721217751503","0.214721217751503","0.214721217751503"
"31","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"32","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"33","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"34","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"35","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"36","2.796412944793701","2.796412944793701","2.796412944793701","0.8382623791694641","0.8382623791694641","0.8382623791694641","-0.0000050067901611328125","-0.0000050067901611328125","-0.0000050067901611328125","0.5329427123069763","0.5329427123069763","0.5329427123069763"
"37","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"38","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"39","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"40","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"41","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"42","2.708528995513916","2.708528995513916","2.708528995513916","0.6633545160293579","0.6633545160293579","0.6633545160293579","-0.0040787458419799805","-0.0040787458419799805","-0.0040787458419799805","0.35509663820266724","0.35509663820266724","0.35509663820266724"
"43","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"44","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"45","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"46","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"47","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"48","2.577768087387085","2.577768087387085","2.577768087387085","0.7032828330993652","0.7032828330993652","0.7032828330993652","-0.4417157769203186","-0.4417157769203186","-0.4417157769203186","0.31253185868263245","0.31253185868263245","0.31253185868263245"
"49","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"50","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"51","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"52","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"53","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"54","2.724331855773926","2.724331855773926","2.724331855773926","0.5411140322685242","0.5411140322685242","0.5411140322685242","-0.00002199411392211914","-0.00002199411392211914","-0.00002199411392211914","0.27662956714630127","0.27662956714630127","0.27662956714630127"
"55","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"56","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"57","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"58","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"59","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"60","2.5717036724090576","2.5717036724090576","2.5717036724090576","0.995031476020813","0.995031476020813","0.995031476020813","0.01067650318145752","0.01067650318145752","0.01067650318145752","0.5307997465133667","0.5307997465133667","0.5307997465133667"
"61","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"62","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"63","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"64","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"65","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"66","2.4594860076904297","2.4594860076904297","2.4594860076904297","0.7353346943855286","0.7353346943855286","0.7353346943855286","-0.0016241669654846191","-0.0016241669654846191","-0.0016241669654846191","0.3687116503715515","0.3687116503715515","0.3687116503715515"
"67","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"68","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"69","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"70","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"71","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"72","2.475290536880493","2.475290536880493","2.475290536880493","0.8174299597740173","0.8174299597740173","0.8174299597740173","0.005362331867218018","0.005362331867218018","0.005362331867218018","0.47498202323913574","0.47498202323913574","0.47498202323913574"
"73","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"74","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"75","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"76","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"77","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"78","2.2890524864196777","2.2890524864196777","2.2890524864196777","0.7448036670684814","0.7448036670684814","0.7448036670684814","0.012056052684783936","0.012056052684783936","0.012056052684783936","0.45899108052253723","0.45899108052253723","0.45899108052253723"
"79","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"80","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"81","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"82","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"83","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"84","1.2111279964447021","1.2111279964447021","1.2111279964447021","0.7126660943031311","0.7126660943031311","0.7126660943031311","-0.006174683570861816","-0.006174683570861816","-0.006174683570861816","0.2711648941040039","0.2711648941040039","0.2711648941040039"
"85","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"86","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"87","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"88","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"89","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"90","0.995348334312439","0.995348334312439","0.995348334312439","0.6396980881690979","0.6396980881690979","0.6396980881690979","0.00014972686767578125","0.00014972686767578125","0.00014972686767578125","0.23175226151943207","0.23175226151943207","0.23175226151943207"
"91","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"92","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"93","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"94","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"95","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"96","2.5459511280059814","2.5459511280059814","2.5459511280059814","0.6919718980789185","0.6919718980789185","0.6919718980789185","0.01913142204284668","0.01913142204284668","0.01913142204284668","0.5772143006324768","0.5772143006324768","0.5772143006324768"
"97","2.4551401138305664","2.4551401138305664","2.4551401138305664","0.7416725158691406","0.7416725158691406","0.7416725158691406","-0.000033974647521972656","-0.000033974647521972656","-0.000033974647521972656","0.41213393211364746","0.41213393211364746","0.41213393211364746"
