"Step","still-voice-16 - losses/policy_loss","still-voice-16 - losses/policy_loss__MIN","still-voice-16 - losses/policy_loss__MAX","still-voice-16 - losses/total_loss","still-voice-16 - losses/total_loss__MIN","still-voice-16 - losses/total_loss__MAX"
"1","0.054564982652664185","0.054564982652664185","0.054564982652664185","0.19373171031475067","0.19373171031475067","0.19373171031475067"
"2","0.01593509316444397","0.01593509316444397","0.01593509316444397","0.13321319222450256","0.13321319222450256","0.13321319222450256"
"3","0.0065386295318603516","0.0065386295318603516","0.0065386295318603516","0.10266917943954468","0.10266917943954468","0.10266917943954468"
"4","0.004816889762878418","0.004816889762878418","0.004816889762878418","0.08577931672334671","0.08577931672334671","0.08577931672334671"
"5","0.002771049737930298","0.002771049737930298","0.002771049737930298","0.07655361294746399","0.07655361294746399","0.07655361294746399"
"6","-0.0006666639819741249","-0.0006666639819741249","-0.0006666639819741249","0.15144576132297516","0.15144576132297516","0.15144576132297516"
"7","-0.003803243860602379","-0.003803243860602379","-0.003803243860602379","0.14652593433856964","0.14652593433856964","0.14652593433856964"
"8","-0.008404430001974106","-0.008404430001974106","-0.008404430001974106","0.1396777629852295","0.1396777629852295","0.1396777629852295"
"9","-0.013874880038201809","-0.013874880038201809","-0.013874880038201809","0.13169948756694794","0.13169948756694794","0.13169948756694794"
"10","-0.019015181809663773","-0.019015181809663773","-0.019015181809663773","0.12389552593231201","0.12389552593231201","0.12389552593231201"
"11","-0.36209821701049805","-0.36209821701049805","-0.36209821701049805","-0.048688918352127075","-0.048688918352127075","-0.048688918352127075"
"12","-0.366616427898407","-0.366616427898407","-0.366616427898407","-0.058686256408691406","-0.058686256408691406","-0.058686256408691406"
"13","-0.3736109137535095","-0.3736109137535095","-0.3736109137535095","-0.07273390889167786","-0.07273390889167786","-0.07273390889167786"
"14","-0.38243988156318665","-0.38243988156318665","-0.38243988156318665","-0.08946838974952698","-0.08946838974952698","-0.08946838974952698"
"15","-0.3927339017391205","-0.3927339017391205","-0.3927339017391205","-0.10731154680252075","-0.10731154680252075","-0.10731154680252075"
"16","0.004917495884001255","0.004917495884001255","0.004917495884001255","0.1326911896467209","0.1326911896467209","0.1326911896467209"
"17","0.002389397006481886","0.002389397006481886","0.002389397006481886","0.13079360127449036","0.13079360127449036","0.13079360127449036"
"18","-0.0017214949475601315","-0.0017214949475601315","-0.0017214949475601315","0.12675896286964417","0.12675896286964417","0.12675896286964417"
"19","-0.007063350640237331","-0.007063350640237331","-0.007063350640237331","0.1209799125790596","0.1209799125790596","0.1209799125790596"
"20","-0.013386964797973633","-0.013386964797973633","-0.013386964797973633","","",""
"21","0.033339790999889374","0.033339790999889374","0.033339790999889374","0.16675758361816406","0.16675758361816406","0.16675758361816406"
"22","0.0295039564371109","0.0295039564371109","0.0295039564371109","0.16164523363113403","0.16164523363113403","0.16164523363113403"
"23","0.02329491265118122","0.02329491265118122","0.02329491265118122","0.15258081257343292","0.15258081257343292","0.15258081257343292"
"24","","","","0.14054596424102783","0.14054596424102783","0.14054596424102783"
