"Step","light-hill-20 - losses/policy_loss","light-hill-20 - losses/policy_loss__MIN","light-hill-20 - losses/policy_loss__MAX","light-hill-20 - losses/total_loss","light-hill-20 - losses/total_loss__MIN","light-hill-20 - losses/total_loss__MAX"
"1","0.9349405169487","0.9349405169487","0.9349405169487","4.561043739318848","4.561043739318848","4.561043739318848"
"2","0.8869809508323669","0.8869809508323669","0.8869809508323669","4.187338352203369","4.187338352203369","4.187338352203369"
"3","0.8420520424842834","0.8420520424842834","0.8420520424842834","4.183773994445801","4.183773994445801","4.183773994445801"
"4","0.8158609867095947","0.8158609867095947","0.8158609867095947","4.189488410949707","4.189488410949707","4.189488410949707"
"5","0.8000264167785645","0.8000264167785645","0.8000264167785645","4.190702438354492","4.190702438354492","4.190702438354492"
"6","0.7892550826072693","0.7892550826072693","0.7892550826072693","4.181416988372803","4.181416988372803","4.181416988372803"
"7","0.7820837497711182","0.7820837497711182","0.7820837497711182","4.163522720336914","4.163522720336914","4.163522720336914"
"8","0.7772428393363953","0.7772428393363953","0.7772428393363953","4.140257835388184","4.140257835388184","4.140257835388184"
"9","0.9079868197441101","0.9079868197441101","0.9079868197441101","3.7677433490753174","3.7677433490753174","3.7677433490753174"
"10","0.882506251335144","0.882506251335144","0.882506251335144","3.7081103324890137","3.7081103324890137","3.7081103324890137"
"11","0.85474693775177","0.85474693775177","0.85474693775177","3.6427102088928223","3.6427102088928223","3.6427102088928223"
"12","0.831899106502533","0.831899106502533","0.831899106502533","3.5862882137298584","3.5862882137298584","3.5862882137298584"
"13","0.8141593933105469","0.8141593933105469","0.8141593933105469","3.5648555755615234","3.5648555755615234","3.5648555755615234"
"14","0.8025106191635132","0.8025106191635132","0.8025106191635132","3.56679630279541","3.56679630279541","3.56679630279541"
"15","0.7950805425643921","0.7950805425643921","0.7950805425643921","3.5508646965026855","3.5508646965026855","3.5508646965026855"
"16","0.7895740270614624","0.7895740270614624","0.7895740270614624","3.5232577323913574","3.5232577323913574","3.5232577323913574"
"17","0.2551290690898895","0.2551290690898895","0.2551290690898895","2.102477550506592","2.102477550506592","2.102477550506592"
"18","0.24910421669483185","0.24910421669483185","0.24910421669483185","1.9681293964385986","1.9681293964385986","1.9681293964385986"
"19","0.24143356084823608","0.24143356084823608","0.24143356084823608","1.9044773578643799","1.9044773578643799","1.9044773578643799"
"20","0.23293456435203552","0.23293456435203552","0.23293456435203552","1.9247102737426758","1.9247102737426758","1.9247102737426758"
"21","0.22399231791496277","0.22399231791496277","0.22399231791496277","1.941400170326233","1.941400170326233","1.941400170326233"
"22","0.21608231961727142","0.21608231961727142","0.21608231961727142","1.9509412050247192","1.9509412050247192","1.9509412050247192"
"23","0.21017786860466003","0.21017786860466003","0.21017786860466003","1.9515912532806396","1.9515912532806396","1.9515912532806396"
"24","0.2053890973329544","0.2053890973329544","0.2053890973329544","1.9421693086624146","1.9421693086624146","1.9421693086624146"
"25","0.10080385953187943","0.10080385953187943","0.10080385953187943","1.5650877952575684","1.5650877952575684","1.5650877952575684"
"26","0.09706811606884003","0.09706811606884003","0.09706811606884003","1.5450315475463867","1.5450315475463867","1.5450315475463867"
"27","0.09136795252561569","0.09136795252561569","0.09136795252561569","1.517399787902832","1.517399787902832","1.517399787902832"
"28","0.08452942967414856","0.08452942967414856","0.08452942967414856","1.4886078834533691","1.4886078834533691","1.4886078834533691"
"29","0.07749830186367035","0.07749830186367035","0.07749830186367035","1.465554118156433","1.465554118156433","1.465554118156433"
"30","0.07107306271791458","0.07107306271791458","0.07107306271791458","1.45982027053833","1.45982027053833","1.45982027053833"
"31","0.06539703905582428","0.06539703905582428","0.06539703905582428","1.4694578647613525","1.4694578647613525","1.4694578647613525"
"32","0.06067618355154991","0.06067618355154991","0.06067618355154991","1.4558663368225098","1.4558663368225098","1.4558663368225098"
"33","0.04490881413221359","0.04490881413221359","0.04490881413221359","1.3475782871246338","1.3475782871246338","1.3475782871246338"
"34","0.04150126874446869","0.04150126874446869","0.04150126874446869","1.2539678812026978","1.2539678812026978","1.2539678812026978"
"35","0.03623371198773384","0.03623371198773384","0.03623371198773384","1.1912891864776611","1.1912891864776611","1.1912891864776611"
"36","0.029220955446362495","0.029220955446362495","0.029220955446362495","1.2056400775909424","1.2056400775909424","1.2056400775909424"
"37","0.021714087575674057","0.021714087575674057","0.021714087575674057","1.218042016029358","1.218042016029358","1.218042016029358"
"38","0.014478815719485283","0.014478815719485283","0.014478815719485283","1.2259464263916016","1.2259464263916016","1.2259464263916016"
