"Step","hearty-violet-164 - rollout_scores/mean","hearty-violet-164 - rollout_scores/mean__MIN","hearty-violet-164 - rollout_scores/mean__MAX","hearty-violet-164 - rollout_scores/running_mean","hearty-violet-164 - rollout_scores/running_mean__MIN","hearty-violet-164 - rollout_scores/running_mean__MAX","hearty-violet-164 - rollout_scores/running_std","hearty-violet-164 - rollout_scores/running_std__MIN","hearty-violet-164 - rollout_scores/running_std__MAX","hearty-violet-164 - rollout_scores/std","hearty-violet-164 - rollout_scores/std__MIN","hearty-violet-164 - rollout_scores/std__MAX","hearty-violet-164 - time/rollout_generate","hearty-violet-164 - time/rollout_generate__MIN","hearty-violet-164 - time/rollout_generate__MAX","hearty-violet-164 - time/rollout_score","hearty-violet-164 - time/rollout_score__MIN","hearty-violet-164 - time/rollout_score__MAX","hearty-violet-164 - time/rollout_time","hearty-violet-164 - time/rollout_time__MIN","hearty-violet-164 - time/rollout_time__MAX"
"0","0.1453618792196115","0.1453618792196115","0.1453618792196115","0.11446604256828626","0.11446604256828626","0.11446604256828626","0.291759597370401","0.291759597370401","0.291759597370401","0.24809385042196178","0.24809385042196178","0.24809385042196178","1.5176716844240825","1.5176716844240825","1.5176716844240825","12.464924295743307","12.464924295743307","12.464924295743307","14.080877641836802","14.080877641836802","14.080877641836802"
"36","0.3335004585484664","0.3335004585484664","0.3335004585484664","0.17962153255939484","0.17962153255939484","0.17962153255939484","0.36730970690647763","0.36730970690647763","0.36730970690647763","0.39834607272981276","0.39834607272981276","0.39834607272981276","1.1513070662816365","1.1513070662816365","1.1513070662816365","12.385814209779104","12.385814209779104","12.385814209779104","13.629252394040426","13.629252394040426","13.629252394040426"
"72","0.10486865664521854","0.10486865664521854","0.10486865664521854","0.21345914403597513","0.21345914403597513","0.21345914403597513","0.39501214027404785","0.39501214027404785","0.39501214027404785","0.17025175417976848","0.17025175417976848","0.17025175417976848","1.0021292765935261","1.0021292765935261","1.0021292765935261","12.39245488246282","12.39245488246282","12.39245488246282","13.481972555319468","13.481972555319468","13.481972555319468"
"108","0.2966036672393481","0.2966036672393481","0.2966036672393481","0.20939629152417183","0.20939629152417183","0.20939629152417183","0.3930196240544319","0.3930196240544319","0.3930196240544319","0.412056619078309","0.412056619078309","0.412056619078309","1.132921834786733","1.132921834786733","1.132921834786733","12.152470370133718","12.152470370133718","12.152470370133718","13.372471690177917","13.372471690177917","13.372471690177917"
"144","0.20673274993896484","0.20673274993896484","0.20673274993896484","0.22358320032556853","0.22358320032556853","0.22358320032556853","0.401583472887675","0.401583472887675","0.401583472887675","0.3814483667180563","0.3814483667180563","0.3814483667180563","1.1936249136924744","1.1936249136924744","1.1936249136924744","12.12470656633377","12.12470656633377","12.12470656633377","13.418323874473572","13.418323874473572","13.418323874473572"
"180","0.3262834846973419","0.3262834846973419","0.3262834846973419","0.23158803458015123","0.23158803458015123","0.23158803458015123","0.40538004289070767","0.40538004289070767","0.40538004289070767","0.39553351164734823","0.39553351164734823","0.39553351164734823","1.1669016083081563","1.1669016083081563","1.1669016083081563","12.257405976454416","12.257405976454416","12.257405976454416","13.516087313493093","13.516087313493093","13.516087313493093"
"216","0.3043242519100507","0.3043242519100507","0.3043242519100507","0.24017762392759323","0.24017762392759323","0.24017762392759323","0.41059835255146027","0.41059835255146027","0.41059835255146027","0.44598924620853114","0.44598924620853114","0.44598924620853114","1.0897328853607178","1.0897328853607178","1.0897328853607178","12.351852317651113","12.351852317651113","12.351852317651113","13.530395964781443","13.530395964781443","13.530395964781443"
"252","0.2348986230790615","0.2348986230790615","0.2348986230790615","0.24108812461296716","0.24108812461296716","0.24108812461296716","0.4119785279035568","0.4119785279035568","0.4119785279035568","0.33664958446024684","0.33664958446024684","0.33664958446024684","1.1956812342007954","1.1956812342007954","1.1956812342007954","12.346605439980825","12.346605439980825","12.346605439980825","13.651726305484772","13.651726305484772","13.651726305484772"
"288","0.2159699611365795","0.2159699611365795","0.2159699611365795","0.24445923790335655","0.24445923790335655","0.24445923790335655","0.4128948375582695","0.4128948375582695","0.4128948375582695","0.3543977790492742","0.3543977790492742","0.3543977790492742","1.2477625608444214","1.2477625608444214","1.2477625608444214","12.214334726333618","12.214334726333618","12.214334726333618","13.561527570088705","13.561527570088705","13.561527570088705"
"324","0.25267206380764645","0.25267206380764645","0.25267206380764645","0.24014213929573694","0.24014213929573694","0.24014213929573694","0.41009460389614105","0.41009460389614105","0.41009460389614105","0.3421117475954816","0.3421117475954816","0.3421117475954816","1.2549566825230916","1.2549566825230916","1.2549566825230916","12.152694980303446","12.152694980303446","12.152694980303446","13.506869415442148","13.506869415442148","13.506869415442148"
