"Step","stellar-bush-24 - returns/mean","stellar-bush-24 - returns/mean__MIN","stellar-bush-24 - returns/mean__MAX","stellar-bush-24 - returns/std","stellar-bush-24 - returns/std__MIN","stellar-bush-24 - returns/std__MAX"
"1","-0.358775794506073","-0.358775794506073","-0.358775794506073","0.19770698249340057","0.19770698249340057","0.19770698249340057"
"2","","","","0.19770698249340057","0.19770698249340057","0.19770698249340057"
"3","-0.358775794506073","-0.358775794506073","-0.358775794506073","0.19770698249340057","0.19770698249340057","0.19770698249340057"
"4","-0.358775794506073","-0.358775794506073","-0.358775794506073","0.19770698249340057","0.19770698249340057","0.19770698249340057"
"5","-0.358775794506073","-0.358775794506073","-0.358775794506073","0.19770698249340057","0.19770698249340057","0.19770698249340057"
"6","0.3526575565338135","0.3526575565338135","0.3526575565338135","","",""
"7","0.3526575565338135","0.3526575565338135","0.3526575565338135","0.3750245273113251","0.3750245273113251","0.3750245273113251"
"8","","","","0.3750245273113251","0.3750245273113251","0.3750245273113251"
"9","0.3526575565338135","0.3526575565338135","0.3526575565338135","0.3750245273113251","0.3750245273113251","0.3750245273113251"
"10","0.3526575565338135","0.3526575565338135","0.3526575565338135","0.3750245273113251","0.3750245273113251","0.3750245273113251"
"11","0.45943716168403625","0.45943716168403625","0.45943716168403625","","",""
"12","0.45943716168403625","0.45943716168403625","0.45943716168403625","0.2607124149799347","0.2607124149799347","0.2607124149799347"
"13","0.45943716168403625","0.45943716168403625","0.45943716168403625","0.2607124149799347","0.2607124149799347","0.2607124149799347"
"14","0.45943716168403625","0.45943716168403625","0.45943716168403625","0.2607124149799347","0.2607124149799347","0.2607124149799347"
"15","0.45943716168403625","0.45943716168403625","0.45943716168403625","0.2607124149799347","0.2607124149799347","0.2607124149799347"
"16","-0.19654501974582672","-0.19654501974582672","-0.19654501974582672","0.3188335597515106","0.3188335597515106","0.3188335597515106"
"17","-0.19654501974582672","-0.19654501974582672","-0.19654501974582672","","",""
"18","-0.19654501974582672","-0.19654501974582672","-0.19654501974582672","0.3188335597515106","0.3188335597515106","0.3188335597515106"
"19","-0.19654501974582672","-0.19654501974582672","-0.19654501974582672","0.3188335597515106","0.3188335597515106","0.3188335597515106"
"20","-0.19654501974582672","-0.19654501974582672","-0.19654501974582672","0.3188335597515106","0.3188335597515106","0.3188335597515106"
"21","0.19836996495723724","0.19836996495723724","0.19836996495723724","0.12927459180355072","0.12927459180355072","0.12927459180355072"
"22","0.19836996495723724","0.19836996495723724","0.19836996495723724","0.12927459180355072","0.12927459180355072","0.12927459180355072"
"23","0.19836996495723724","0.19836996495723724","0.19836996495723724","0.12927459180355072","0.12927459180355072","0.12927459180355072"
"24","0.19836996495723724","0.19836996495723724","0.19836996495723724","","",""
"25","0.19836996495723724","0.19836996495723724","0.19836996495723724","0.12927459180355072","0.12927459180355072","0.12927459180355072"
"26","-0.3612549304962158","-0.3612549304962158","-0.3612549304962158","0.4162643253803253","0.4162643253803253","0.4162643253803253"
"27","-0.3612549304962158","-0.3612549304962158","-0.3612549304962158","0.4162643253803253","0.4162643253803253","0.4162643253803253"
"28","-0.3612549304962158","-0.3612549304962158","-0.3612549304962158","0.4162643253803253","0.4162643253803253","0.4162643253803253"
"29","-0.3612549304962158","-0.3612549304962158","-0.3612549304962158","0.4162643253803253","0.4162643253803253","0.4162643253803253"
"30","-0.3612549304962158","-0.3612549304962158","-0.3612549304962158","0.4162643253803253","0.4162643253803253","0.4162643253803253"
"31","0.11787864565849304","0.11787864565849304","0.11787864565849304","0.2538340389728546","0.2538340389728546","0.2538340389728546"
"32","0.11787864565849304","0.11787864565849304","0.11787864565849304","","",""
"33","0.11787864565849304","0.11787864565849304","0.11787864565849304","0.2538340389728546","0.2538340389728546","0.2538340389728546"
"34","0.11787864565849304","0.11787864565849304","0.11787864565849304","0.2538340389728546","0.2538340389728546","0.2538340389728546"
"35","0.11787864565849304","0.11787864565849304","0.11787864565849304","0.2538340389728546","0.2538340389728546","0.2538340389728546"
"36","0.2608163058757782","0.2608163058757782","0.2608163058757782","0.11998338252305984","0.11998338252305984","0.11998338252305984"
"37","0.2608163058757782","0.2608163058757782","0.2608163058757782","0.11998338252305984","0.11998338252305984","0.11998338252305984"
"38","0.2608163058757782","0.2608163058757782","0.2608163058757782","0.11998338252305984","0.11998338252305984","0.11998338252305984"
"39","0.2608163058757782","0.2608163058757782","0.2608163058757782","0.11998338252305984","0.11998338252305984","0.11998338252305984"
"41","0.254629909992218","0.254629909992218","0.254629909992218","0.5906233787536621","0.5906233787536621","0.5906233787536621"
"42","0.254629909992218","0.254629909992218","0.254629909992218","","",""
"43","0.254629909992218","0.254629909992218","0.254629909992218","0.5906233787536621","0.5906233787536621","0.5906233787536621"
"44","0.254629909992218","0.254629909992218","0.254629909992218","0.5906233787536621","0.5906233787536621","0.5906233787536621"
"45","","","","0.5906233787536621","0.5906233787536621","0.5906233787536621"
"46","","","","0.3144232928752899","0.3144232928752899","0.3144232928752899"
"47","-0.1261681318283081","-0.1261681318283081","-0.1261681318283081","0.3144232928752899","0.3144232928752899","0.3144232928752899"
"48","-0.1261681318283081","-0.1261681318283081","-0.1261681318283081","0.3144232928752899","0.3144232928752899","0.3144232928752899"
"49","","","","0.3144232928752899","0.3144232928752899","0.3144232928752899"
"50","","","","0.3144232928752899","0.3144232928752899","0.3144232928752899"
"51","-0.03243360295891762","-0.03243360295891762","-0.03243360295891762","0.6127423644065857","0.6127423644065857","0.6127423644065857"
"52","-0.03243360295891762","-0.03243360295891762","-0.03243360295891762","0.6127423644065857","0.6127423644065857","0.6127423644065857"
"53","-0.03243360295891762","-0.03243360295891762","-0.03243360295891762","0.6127423644065857","0.6127423644065857","0.6127423644065857"
"54","-0.03243360295891762","-0.03243360295891762","-0.03243360295891762","","",""
"55","-0.03243360295891762","-0.03243360295891762","-0.03243360295891762","0.6127423644065857","0.6127423644065857","0.6127423644065857"
"56","","","","0.1714654117822647","0.1714654117822647","0.1714654117822647"
"57","-0.19197727739810944","-0.19197727739810944","-0.19197727739810944","0.1714654117822647","0.1714654117822647","0.1714654117822647"
"58","-0.19197727739810944","-0.19197727739810944","-0.19197727739810944","0.1714654117822647","0.1714654117822647","0.1714654117822647"
"59","","","","0.1714654117822647","0.1714654117822647","0.1714654117822647"
"60","-0.19197727739810944","-0.19197727739810944","-0.19197727739810944","0.1714654117822647","0.1714654117822647","0.1714654117822647"
"61","-0.08770214021205902","-0.08770214021205902","-0.08770214021205902","0.15246786177158356","0.15246786177158356","0.15246786177158356"
"62","-0.08770214021205902","-0.08770214021205902","-0.08770214021205902","0.15246786177158356","0.15246786177158356","0.15246786177158356"
"63","","","","0.15246786177158356","0.15246786177158356","0.15246786177158356"
"64","-0.08770214021205902","-0.08770214021205902","-0.08770214021205902","0.15246786177158356","0.15246786177158356","0.15246786177158356"
"65","-0.08770214021205902","-0.08770214021205902","-0.08770214021205902","0.15246786177158356","0.15246786177158356","0.15246786177158356"
"66","0.35432955622673035","0.35432955622673035","0.35432955622673035","0.6657785773277283","0.6657785773277283","0.6657785773277283"
"67","","","","0.6657785773277283","0.6657785773277283","0.6657785773277283"
"68","","","","0.6657785773277283","0.6657785773277283","0.6657785773277283"
"69","0.35432955622673035","0.35432955622673035","0.35432955622673035","0.6657785773277283","0.6657785773277283","0.6657785773277283"
"70","0.35432955622673035","0.35432955622673035","0.35432955622673035","0.6657785773277283","0.6657785773277283","0.6657785773277283"
"71","-0.0729295015335083","-0.0729295015335083","-0.0729295015335083","0.12893132865428925","0.12893132865428925","0.12893132865428925"
"72","-0.0729295015335083","-0.0729295015335083","-0.0729295015335083","0.12893132865428925","0.12893132865428925","0.12893132865428925"
"73","-0.0729295015335083","-0.0729295015335083","-0.0729295015335083","0.12893132865428925","0.12893132865428925","0.12893132865428925"
"74","-0.0729295015335083","-0.0729295015335083","-0.0729295015335083","0.12893132865428925","0.12893132865428925","0.12893132865428925"
"75","-0.0729295015335083","-0.0729295015335083","-0.0729295015335083","0.12893132865428925","0.12893132865428925","0.12893132865428925"
"76","0.3250696659088135","0.3250696659088135","0.3250696659088135","0.3264002799987793","0.3264002799987793","0.3264002799987793"
"77","","","","0.3264002799987793","0.3264002799987793","0.3264002799987793"
"79","0.3250696659088135","0.3250696659088135","0.3250696659088135","0.3264002799987793","0.3264002799987793","0.3264002799987793"
"80","0.3250696659088135","0.3250696659088135","0.3250696659088135","0.3264002799987793","0.3264002799987793","0.3264002799987793"
"81","0.08246458321809769","0.08246458321809769","0.08246458321809769","0.46460166573524475","0.46460166573524475","0.46460166573524475"
"82","0.08246458321809769","0.08246458321809769","0.08246458321809769","0.46460166573524475","0.46460166573524475","0.46460166573524475"
"83","0.08246458321809769","0.08246458321809769","0.08246458321809769","0.46460166573524475","0.46460166573524475","0.46460166573524475"
"84","0.08246458321809769","0.08246458321809769","0.08246458321809769","","",""
"85","0.08246458321809769","0.08246458321809769","0.08246458321809769","0.46460166573524475","0.46460166573524475","0.46460166573524475"
"86","","","","0.24384312331676483","0.24384312331676483","0.24384312331676483"
"87","-0.5885568261146545","-0.5885568261146545","-0.5885568261146545","0.24384312331676483","0.24384312331676483","0.24384312331676483"
"88","-0.5885568261146545","-0.5885568261146545","-0.5885568261146545","0.24384312331676483","0.24384312331676483","0.24384312331676483"
"89","-0.5885568261146545","-0.5885568261146545","-0.5885568261146545","0.24384312331676483","0.24384312331676483","0.24384312331676483"
"90","-0.5885568261146545","-0.5885568261146545","-0.5885568261146545","0.24384312331676483","0.24384312331676483","0.24384312331676483"
"92","0.2389255315065384","0.2389255315065384","0.2389255315065384","0.18086257576942444","0.18086257576942444","0.18086257576942444"
"93","0.2389255315065384","0.2389255315065384","0.2389255315065384","0.18086257576942444","0.18086257576942444","0.18086257576942444"
"94","0.2389255315065384","0.2389255315065384","0.2389255315065384","0.18086257576942444","0.18086257576942444","0.18086257576942444"
"95","0.2389255315065384","0.2389255315065384","0.2389255315065384","0.18086257576942444","0.18086257576942444","0.18086257576942444"
"96","-0.12263861298561096","-0.12263861298561096","-0.12263861298561096","0.12723340094089508","0.12723340094089508","0.12723340094089508"
"97","-0.12263861298561096","-0.12263861298561096","-0.12263861298561096","0.12723340094089508","0.12723340094089508","0.12723340094089508"
"98","-0.12263861298561096","-0.12263861298561096","-0.12263861298561096","0.12723340094089508","0.12723340094089508","0.12723340094089508"
"99","-0.12263861298561096","-0.12263861298561096","-0.12263861298561096","0.12723340094089508","0.12723340094089508","0.12723340094089508"
"100","","","","0.12723340094089508","0.12723340094089508","0.12723340094089508"
"101","-0.07726849615573883","-0.07726849615573883","-0.07726849615573883","0.15314827859401703","0.15314827859401703","0.15314827859401703"
