"Step","young-flower-175 - reward/mean","young-flower-175 - reward/mean__MIN","young-flower-175 - reward/mean__MAX"
"0","0.2004414251446724","0.2004414251446724","0.2004414251446724"
"400","0.2017260091006756","0.2017260091006756","0.2017260091006756"
"800","0.2106101121008396","0.2106101121008396","0.2106101121008396"
"1200","0.2119455586373806","0.2119455586373806","0.2119455586373806"
"1600","0.195649321526289","0.195649321526289","0.195649321526289"
"2000","0.20152380481362342","0.20152380481362342","0.20152380481362342"
"2400","0.22990274369716646","0.22990274369716646","0.22990274369716646"
"2800","0.21368873074650765","0.21368873074650765","0.21368873074650765"
"3200","0.21176234394311905","0.21176234394311905","0.21176234394311905"
"3600","0.2288171648979187","0.2288171648979187","0.2288171648979187"
"4000","0.222563443928957","0.222563443928957","0.222563443928957"
"4400","0.2402580577135086","0.2402580577135086","0.2402580577135086"
"4800","0.23846322119235994","0.23846322119235994","0.23846322119235994"
"5200","0.21763174682855607","0.21763174682855607","0.21763174682855607"
"5600","0.21406810417771338","0.21406810417771338","0.21406810417771338"
"6000","0.22179397821426391","0.22179397821426391","0.22179397821426391"
"6400","0.2223384876549244","0.2223384876549244","0.2223384876549244"
"6800","0.21135919854044916","0.21135919854044916","0.21135919854044916"
"7200","0.22819194376468657","0.22819194376468657","0.22819194376468657"
"7600","0.22506461799144745","0.22506461799144745","0.22506461799144745"
"8000","0.23070296436548232","0.23070296436548232","0.23070296436548232"
"8400","0.2251291999220848","0.2251291999220848","0.2251291999220848"
"8800","0.2237310890853405","0.2237310890853405","0.2237310890853405"
"9200","0.2266348773241043","0.2266348773241043","0.2266348773241043"
"9600","0.21373308777809144","0.21373308777809144","0.21373308777809144"
"10000","0.2374078144133091","0.2374078144133091","0.2374078144133091"
"10400","0.2166975386440754","0.2166975386440754","0.2166975386440754"
"10800","0.21437882125377655","0.21437882125377655","0.21437882125377655"
"11200","0.2198273731768131","0.2198273731768131","0.2198273731768131"
"11600","0.21745454296469688","0.21745454296469688","0.21745454296469688"
"12000","0.2237446826696396","0.2237446826696396","0.2237446826696396"
